DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description, Total Discharges , Average Covered Charges , Average Total Payments ,Average Medicare Payments
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330005,KALEIDA HEALTH,"726 EXCHANGE STREET, SUITE 522",BUFFALO,NY,14210,NY - Buffalo,23,"$27,984.39 ","$7,567.39 ","$6,636.43 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330011,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",169 RIVERSIDE DRIVE,BINGHAMTON,NY,13905,NY - Binghamton,16,"$17,173.12 ","$5,777.00 ","$4,649.00 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330013,ALBANY MEDICAL CENTER HOSPITAL,43 NEW SCOTLAND AVENUE,ALBANY,NY,12208,NY - Albany,72,"$19,226.16 ","$7,478.16 ","$6,554.31 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330023,VASSAR BROTHERS MEDICAL CENTER,45 READE PLACE,POUGHKEEPSIE,NY,12601,NY - Albany,39,"$25,330.12 ","$7,125.12 ","$6,116.61 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,NY - Manhattan,29,"$22,169.41 ","$11,165.17 ","$9,504.37 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330028,RICHMOND UNIVERSITY MEDICAL CENTER,355 BARD AVENUE,STATEN ISLAND,NY,10304,NY - Manhattan,12,"$32,246.66 ","$10,165.00 ","$9,321.33 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330044,FAXTON-ST LUKE'S HEALTHCARE,1656 CHAMPLIN AVENUE,UTICA,NY,13503,NY - Elmira,40,"$19,167.42 ","$5,740.32 ","$4,673.70 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330057,ST PETER'S HOSPITAL,315 SOUTH MANNING BOULEVARD,ALBANY,NY,12208,NY - Albany,37,"$14,540.83 ","$5,467.37 ","$4,434.64 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,13,"$37,429.92 ","$13,079.38 ","$10,280.76 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330067,ST FRANCIS HOSPITAL,241 NORTH ROAD,POUGHKEEPSIE,NY,12601,NY - Albany,18,"$24,503.50 ","$8,207.94 ","$6,799.44 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330078,SISTERS OF CHARITY HOSPITAL,2157 MAIN STREET,BUFFALO,NY,14214,NY - Buffalo,15,"$11,361.86 ","$7,261.80 ","$4,929.13 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,NY - Elmira,35,"$14,121.48 ","$6,449.51 ","$4,957.62 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330101,NEW YORK-PRESBYTERIAN HOSPITAL,525 EAST 68TH STREET,NEW YORK,NY,10021,NY - Manhattan,49,"$32,142.36 ","$11,869.00 ","$9,417.73 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330106,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,11030,NY - East Long Island,39,"$30,313.02 ","$11,105.02 ","$6,943.48 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330119,LENOX HILL HOSPITAL,100 EAST 77TH STREET,NEW YORK,NY,10021,NY - Manhattan,17,"$29,515.52 ","$8,963.64 ","$7,907.64 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330125,ROCHESTER GENERAL HOSPITAL,1425 PORTLAND AVENUE,ROCHESTER,NY,14621,NY - Rochester,27,"$7,468.00 ","$7,546.29 ","$4,373.07 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330126,ORANGE REGIONAL MEDICAL CENTER,707 EAST MAIN STREET,MIDDLETOWN,NY,10940,NY - White Plains,18,"$21,845.72 ","$7,167.44 ","$6,292.33 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330136,MARY IMOGENE BASSETT HOSPITAL,ONE ATWELL ROAD,COOPERSTOWN,NY,13326,NY - Albany,23,"$16,593.95 ","$9,293.78 ","$7,284.86 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330140,ST JOSEPH'S HOSPITAL HEALTH CENTER,301 PROSPECT AVENUE,SYRACUSE,NY,13203,NY - Syracuse,137,"$13,836.72 ","$6,673.68 ","$5,471.58 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330153,ELLIS HOSPITAL,1101 NOTT STREET,SCHENECTADY,NY,12308,NY - Albany,20,"$13,866.10 ","$5,918.30 ","$4,854.10 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330158,GOOD SAMARITAN HOSPITAL OF SUFFERN,255 LAFAYETTE AVENUE,SUFFERN,NY,10901,NJ - Ridgewood,21,"$37,392.85 ","$8,052.04 ","$6,670.57 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330160,STATEN ISLAND UNIVERSITY HOSPITAL,475 SEAVIEW AVENUE,STATEN ISLAND,NY,10305,NY - Manhattan,18,"$21,700.11 ","$9,393.33 ","$8,458.88 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330167,WINTHROP-UNIVERSITY HOSPITAL,259 FIRST STREET,MINEOLA,NY,11501,NY - East Long Island,43,"$28,110.20 ","$9,347.93 ","$6,711.51 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330169,BETH ISRAEL MEDICAL CENTER,FIRST AVENUE AT 16TH STREET,NEW YORK,NY,10003,NY - Manhattan,17,"$31,149.82 ","$11,056.88 ","$10,065.58 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330182,"ST FRANCIS HOSPITAL, ROSLYN",100 PORT WASHINGTON BOULEVARD,ROSLYN,NY,11576,NY - East Long Island,83,"$25,982.95 ","$7,430.87 ","$5,496.63 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330185,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,75 NORTH COUNTRY ROAD,PORT JEFFERSON,NY,11777,NY - East Long Island,33,"$18,674.96 ","$6,925.93 ","$5,528.00 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330188,MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER,5300 MILITARY ROAD,LEWISTON,NY,14092,NY - Buffalo,13,"$19,445.30 ","$7,921.00 ","$4,183.38 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330191,GLENS FALLS HOSPITAL,100 PARK STREET,GLENS FALLS,NY,12801,NY - Albany,15,"$9,887.86 ","$5,526.60 ","$4,707.13 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330194,MAIMONIDES MEDICAL CENTER,4802 TENTH AVENUE,BROOKLYN,NY,11219,NY - Manhattan,11,"$28,410.00 ","$11,972.27 ","$10,957.72 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330195,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,NY - East Long Island,11,"$58,074.18 ","$13,895.09 ","$13,280.54 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330198,SOUTH NASSAU COMMUNITIES HOSPITAL,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NY - East Long Island,18,"$20,792.16 ","$7,556.05 ","$5,775.77 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330203,CROUSE HOSPITAL,736 IRVING AVENUE,SYRACUSE,NY,13210,NY - Syracuse,27,"$13,116.14 ","$7,271.14 ","$6,275.59 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330214,NYU HOSPITALS CENTER,550 FIRST AVENUE,NEW YORK,NY,10016,NY - Manhattan,33,"$37,047.06 ","$9,422.84 ","$8,141.36 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330222,SARATOGA HOSPITAL,211 CHURCH STREET,SARATOGA SPRING,NY,12866,NY - Albany,17,"$16,751.11 ","$5,372.58 ","$4,257.52 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330224,BENEDICTINE HOSPITAL,105 MARY'S AVENUE,KINGSTON,NY,12401,NY - Albany,22,"$18,943.95 ","$6,638.77 ","$5,664.04 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330234,WESTCHESTER MEDICAL CENTER,100 WOODS RD,VALHALLA,NY,10595,NY - White Plains,23,"$53,046.60 ","$11,289.21 ","$9,853.30 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330236,NEW YORK METHODIST HOSPITAL,506 SIXTH STREET,BROOKLYN,NY,11215,NY - Manhattan,16,"$22,077.12 ","$10,657.43 ","$9,091.00 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330241,UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER,750 EAST ADAMS STREET,SYRACUSE,NY,13210,NY - Syracuse,18,"$27,395.66 ","$8,910.83 ","$7,847.00 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330245,ST ELIZABETH MEDICAL CENTER,2209 GENESEE STREET,UTICA,NY,13501,NY - Elmira,42,"$11,658.47 ","$6,260.61 ","$4,766.40 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330250,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR,75 BEEKMAN STREET,PLATTSBURGH,NY,12901,VT - Burlington,26,"$15,270.50 ","$8,410.96 ","$7,487.00 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330264,ST LUKE'S CORNWALL HOSPITAL,70 DUBOIS STREET,NEWBURGH,NY,12550,NY - White Plains,17,"$19,814.58 ","$7,292.70 ","$6,432.70 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330285,STRONG MEMORIAL HOSPITAL,601 ELMWOOD AVE,ROCHESTER,NY,14642,NY - Rochester,16,"$14,264.37 ","$9,044.75 ","$6,423.81 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330286,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,1000 MONTAUK HIGHWAY,WEST ISLIP,NY,11795,NY - East Long Island,39,"$22,250.25 ","$7,949.64 ","$5,889.56 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330304,WHITE PLAINS HOSPITAL CENTER,41 EAST POST R0AD,WHITE PLAINS,NY,10601,NY - White Plains,20,"$16,213.85 ","$6,927.65 ","$5,978.25 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",33-57 HARRISON STREET,JOHNSON CITY,NY,13790,NY - Binghamton,44,"$13,858.29 ","$6,572.50 ","$5,366.09 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330401,ST CATHERINE OF SIENA HOSPITAL,50 ROUTE 25A,SMITHTOWN,NY,11787,NY - East Long Island,14,"$37,826.57 ","$6,873.42 ","$5,914.57 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330004,KINGSTON HOSPITAL,396 BROADWAY,KINGSTON,NY,12401,NY - Albany,50,"$26,906.38 ","$7,053.44 ","$5,912.58 "
